Year,PM,Bin,Min,Count,Frequency,Crash Type
2022,RCT,180-195,180,0,0,PDO
2022,RCT,195-210,195,0,0,PDO
2022,RCT,210-225,210,0,0,PDO
2022,RCT,225+,225,1,0.000786164,PDO
2022,RCT,0-15,0,11,0.008647799,PI
2022,RCT,15-30,15,39,0.030660377,PI
2022,RCT,30-45,30,27,0.021226415,PI
2022,RCT,45-60,45,31,0.024371069,PI
2022,RCT,60-75,60,37,0.02908805,PI
2022,RCT,75-90,75,20,0.01572327,PI
2022,RCT,90-105,90,8,0.006289308,PI
2022,RCT,105-120,105,9,0.007075472,PI
2022,RCT,120-135,120,4,0.003144654,PI
2022,RCT,135-150,135,3,0.002358491,PI
2022,RCT,150-165,150,1,0.000786164,PI
2022,RCT,165-180,165,0,0,PI
2022,RCT,180-195,180,1,0.000786164,PI
2022,RCT,195-210,195,2,0.001572327,PI
2022,RCT,210-225,210,2,0.001572327,PI
2022,RCT,225+,225,3,0.002358491,PI
2022,RCT,0-15,0,0,0,FII
2022,RCT,15-30,15,1,0.000786164,FII
2022,RCT,30-45,30,0,0,FII
2022,RCT,45-60,45,0,0,FII
2022,RCT,60-75,60,0,0,FII
2022,RCT,75-90,75,0,0,FII
2022,RCT,90-105,90,0,0,FII
2022,RCT,105-120,105,0,0,FII
2022,RCT,120-135,120,0,0,FII
2022,RCT,135-150,135,0,0,FII
2022,RCT,150-165,150,1,0.000786164,FII
2022,RCT,165-180,165,0,0,FII
2022,RCT,180-195,180,0,0,FII
2022,RCT,195-210,195,2,0.001572327,FII
2022,RCT,210-225,210,0,0,FII
2022,RCT,225+,225,4,0.003144654,FII
2022,ICT,0-15,0,175,0.137578616,PDO
2022,ICT,15-30,15,282,0.221698113,PDO
2022,ICT,30-45,30,207,0.162735849,PDO
2022,ICT,45-60,45,123,0.096698113,PDO
2022,ICT,60-75,60,91,0.071540881,PDO
2022,ICT,75-90,75,51,0.04009434,PDO
2022,ICT,90-105,90,28,0.022012579,PDO
2022,ICT,105-120,105,15,0.011792453,PDO
2022,ICT,120-135,120,10,0.007861635,PDO
2022,ICT,135-150,135,5,0.003930818,PDO
2022,ICT,150-165,150,4,0.003144654,PDO
2022,ICT,165-180,165,4,0.003144654,PDO
2022,ICT,180-195,180,0,0,PDO
2022,ICT,195-210,195,1,0.000786164,PDO
2022,ICT,210-225,210,0,0,PDO
2022,ICT,225+,225,3,0.002358491,PDO
2022,ICT,0-15,0,29,0.022798742,PI
2022,ICT,15-30,15,67,0.052672956,PI
2022,ICT,30-45,30,90,0.070754717,PI
2022,ICT,45-60,45,84,0.066037736,PI
2022,ICT,60-75,60,115,0.090408805,PI
2022,ICT,75-90,75,46,0.036163522,PI
2022,ICT,90-105,90,29,0.022798742,PI
2022,ICT,105-120,105,13,0.010220126,PI
2022,ICT,120-135,120,8,0.006289308,PI
2022,ICT,135-150,135,9,0.007075472,PI
2022,ICT,150-165,150,4,0.003144654,PI
2022,ICT,165-180,165,3,0.002358491,PI
2022,ICT,180-195,180,3,0.002358491,PI
2022,ICT,195-210,195,2,0.001572327,PI
2022,ICT,210-225,210,0,0,PI
2022,ICT,225+,225,10,0.007861635,PI
2022,ICT,0-15,0,0,0,FII
2022,ICT,15-30,15,0,0,FII
2022,ICT,30-45,30,0,0,FII
2022,ICT,45-60,45,0,0,FII
2022,ICT,60-75,60,0,0,FII
2022,ICT,75-90,75,0,0,FII
2022,ICT,90-105,90,0,0,FII
2022,ICT,105-120,105,0,0,FII
2022,ICT,120-135,120,0,0,FII
2022,ICT,135-150,135,0,0,FII
2022,ICT,150-165,150,2,0.001572327,FII
2022,ICT,165-180,165,0,0,FII
2022,ICT,180-195,180,1,0.000786164,FII
2022,ICT,195-210,195,1,0.000786164,FII
2022,ICT,210-225,210,0,0,FII
2022,ICT,225+,225,5,0.003930818,FII
