Year,Date,Time,Location,Crash Type,Number of IMT Teams,Number of UHP Teams,RT,RT for IMT sec,RT for UHP,RT for UHP min,RT for UHP sec,RCT,RCT for IMT Numeric sec,Ln RCT for IMT,ICT,ICT for IMT Numeric sec,Ln ICT for IMT,ICT for UHP Numeric min,ICT for UHP Numeric sec,Ln ICT for UHP,Lanes at Bottleneck,Number of Lanes Closed,Lanes Available,Time Weighted Number of Lanes Closed,Roadway Capacity,Lane Ratio,AV,Ln AV,ETT,Ln ETT,EUC,Ln Cost,Time Range,T7-T5,T7T5,T7-T5 Sec,Ln T7-T5,T7T0,T7-T0 min,T7-T0 sec,Ln T7-T0,T5-T0,T5-T0 min,T5-T0 sec,Ln T5-T0,T5-T7 min,T5-T7 sec,Ln T5-T7
2018,3/16/18,11:34:20,5400 S I15 NB                                               ,PD Crash,1,3,12.03333333,721.9999998,0:05:48,5.8,348,12.66666666,759.9999996,2.538973871,18.88333333,1133,2.938279699,53.27,3196,8.069655307,5,2,3,1.11,0.78,0.4,5532,8.618304693,104.46,4.65,2806.31,7.94,Afternoon Off Peak,0:28,28,1680,3.33220451,0:45,45,2700,3.80666249,0:17,17,1020,2.833213344,,,
2018,3/20/18,16:36:59,12500 S I15 NB                                              ,PD Crash,1,3,19.83333334,1190,0:13:40,13.67,820,17.01666667,1021,2.834193256,84.68333334,5081,4.438918809,87.13,5228,8.561784075,6,2,4,1.31,0.78,0.333,10807,9.287949351,487.64,6.19,12634.98,9.44,PM Peak,1:16,76,4560,4.33073334,1:35,95,5700,4.553876892,0:19,19,1140,2.944438979,,,
2018,3/21/18,8:44:13,279002 I15 NB                                               ,PD Crash,2,4,9.049999999,542.9999999,0:17:14,17.23,1034,20.78333333,1247,3.034151383,30.48333333,1829,3.417180086,78.38,4703,8.455955882,5,2,3,1.71,0.66,0.4,5861,8.676075516,262.34,5.57,5798.46,8.67,AM Peak,0:40,40,2400,3.688879454,1:05,65,3900,4.17438727,0:25,25,1500,3.218875825,,,
2018,3/21/18,9:08:23,274983 I15 NB; MM 275 I15 NB                                ,PI Crash,3,3,11.15,669,0:05:04,5.07,304,34.61666667,2077,3.544335262,50.31666666,3019,3.918336367,56.45,3387,8.127699853,6,1,5,1,0.83,0.167,3407,8.133587418,52.92,3.97,1226.72,7.11,AM Peak,,-3,-180,,0:35,35,2100,3.555348061,0:38,38,2280,3.63758616,3,180,1.098612289
2018,3/21/18,16:05:40,1746 N I15 NB; MM 311 I15 NB                                ,PI Crash,1,2,13.96666666,837.9999996,0:11:37,11.62,697,62.33333333,3740,4.132496328,62.98333334,3779,4.142870141,116.33,6980,8.850804196,4,1,3,1,0.75,0.25,10792,9.286560398,2629.85,7.87,68140.62,11.13,PM Peak,0:17,17,1020,2.833213344,1:20,80,4800,4.382026635,1:03,63,3780,4.143134726,,,
2018,3/26/18,9:27:01,11400 S I15 SB                                              ,PD Crash,2,1,2.916666667,175,0:09:56,9.93,596,62.98333334,3779,4.142870141,64.43333334,3866,4.165631098,64.6,3876,8.262558973,6,1,5,1,0.83,0.167,7337,8.900685319,198.83,5.29,5405.25,8.6,Afternoon Off Peak,0:05,5,300,1.609437912,1:05,65,3900,4.17438727,1:00,60,3600,4.094344562,,,
2018,3/26/18,16:30:35,2336 N I15 NB                                               ,PI Crash,2,2,9.700000004,582.0000002,0:11:49,11.82,709,43.41666666,2605,3.770843392,51.51666667,3091,3.94190538,119.92,7195,8.881141619,4,3,1,2.44,0.39,0.75,15160,9.626415659,1638.21,7.4,42446.77,10.66,PM Peak,1:21,81,4860,4.394449155,2:05,125,7500,4.828313737,0:44,44,2640,3.784189634,,,
2018,3/27/18,7:54:48,280003 I15 NB                                               ,PI Crash,1,3,11.68333333,700.9999998,0:05:31,5.52,331,16.19999999,971.9999994,2.785011242,42.98333333,2579,3.760812444,43.27,2596,7.861727078,5,3,2,1.29,0.74,0.6,11241,9.327323087,1125.86,7.03,24884.72,10.12,AM Peak,1:24,84,5040,4.430816799,1:55,115,6900,4.744932128,0:31,31,1860,3.433987204,,,
2018,3/27/18,16:18:37,50 S I15 NB                                                 ,PI Crash,1,2,11.05,663,0:08:31,8.52,511,37.66666667,2260,3.62877553,37.66666667,2260,3.62877553,105.62,6337,8.754160749,4,1,3,1,0.75,0.25,12787,9.456184309,423.93,6.05,10984.22,9.3,PM Peak,0:58,58,3480,4.060443011,1:37,97,5820,4.574710979,0:39,39,2340,3.663561646,,,
2018,3/28/18,12:56:50,5300 S I15 NB                                               ,PI Crash,2,6,4.933333334,296,0:02:46,2.77,166,91.16666667,5470,4.512689333,99.08333333,5945,4.595961247,99.07,5944,8.690137586,5,2,3,2,0.6,0.4,11769,9.373224235,1611,7.38,43279.36,10.68,Afternoon Off Peak,0:12,12,720,2.48490665,1:44,104,6240,4.644390899,1:32,92,5520,4.521788577,,,
